Wavelength (nm),SPD1,SPD2,Difference in Number,Difference in Percentage (%),x1 (Chromaticity SPD1),y1 (Chromaticity SPD1),x2 (Chromaticity SPD2),y2 (Chromaticity SPD2)
508,0.24815,0.4963,0.24815,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
509,0.29105,0.5821,0.29105,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
510,0.3325,0.665,0.3325,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
511,0.37575,0.7515,0.37575,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
512,0.4213,0.8426,0.4213,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
513,0.4648,0.9296,0.4648,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
514,0.5109,1.0218,0.5109,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
515,0.55495,1.1099,0.55495,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
516,0.59995,1.1999,0.59995,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
517,0.6418,1.2836,0.6418,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
518,0.6841,1.3682,0.6841,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
519,0.72175,1.4435,0.72175,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
520,0.7597,1.5194,0.7597,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
521,0.79305,1.5861,0.79305,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
522,0.8196,1.6392,0.8196,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
523,0.8461,1.6922,0.8461,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
524,0.8647,1.7294,0.8647,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
525,0.87915,1.7583,0.87915,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
526,0.8861,1.7722,0.8861,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
527,0.8862,1.7724,0.8862,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
528,0.88265,1.7653,0.88265,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
529,0.87435,1.7487,0.87435,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
530,0.85985,1.7197,0.85985,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
531,0.84,1.68,0.84,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
532,0.8182,1.6364,0.8182,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
533,0.793,1.586,0.793,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
534,0.76855,1.5371,0.76855,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
535,0.7384,1.4768,0.7384,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
536,0.70685,1.4137,0.70685,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
537,0.67895,1.3579,0.67895,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
538,0.64745,1.2949,0.64745,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
539,0.61985,1.2397,0.61985,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
540,0.59085,1.1817,0.59085,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
541,0.5618,1.1236,0.5618,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
542,0.5377,1.0754,0.5377,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
543,0.50985,1.0197,0.50985,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
544,0.4868,0.9736,0.4868,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
545,0.46495,0.9299,0.46495,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
546,0.44215,0.8843,0.44215,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
547,0.4221,0.8442,0.4221,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
548,0.39945,0.7989,0.39945,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
549,0.38065,0.7613,0.38065,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
550,0.3603,0.7206,0.3603,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
551,0.34285,0.6857,0.34285,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
552,0.32505,0.6501,0.32505,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
553,0.30985,0.6197,0.30985,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
554,0.29325,0.5865,0.29325,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
555,0.27745,0.5549,0.27745,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
556,0.26095,0.5219,0.26095,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
557,0.2457,0.4914,0.2457,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
558,0.2313,0.4626,0.2313,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
559,0.21775,0.4355,0.21775,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
560,0.20555,0.4111,0.20555,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
561,0.19315,0.3863,0.19315,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
562,0.18205,0.3641,0.18205,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
563,0.1703,0.3406,0.1703,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
564,0.16005,0.3201,0.16005,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
565,0.15175,0.3035,0.15175,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
566,0.1437,0.2874,0.1437,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
567,0.1349,0.2698,0.1349,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
568,0.12725,0.2545,0.12725,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
569,0.12115,0.2423,0.12115,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
570,0.1139,0.2278,0.1139,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
571,0.1084,0.2168,0.1084,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
572,0.1023,0.2046,0.1023,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
573,0.09805,0.1961,0.09805,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
574,0.09285,0.1857,0.09285,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
575,0.0881,0.1762,0.0881,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
